ross_inc_id,sitnum,time_since_disco,ic_name
97632,1,2,bill champion
136701,1,1,bill champion
53122,4,4,bill cowin
53122,5,5,bill cowin
53122,6,6,bill cowin
57101,1,0,bill edwards
57101,2,1,bill edwards
57101,3,2,bill edwards
57101,4,3,bill edwards
141201,4,3,bill hahnenberg
141201,5,4,bill hahnenberg
141201,6,5,bill hahnenberg
55710,4,5,bill hahnenberg
55710,5,6,bill hahnenberg
55710,6,7,bill hahnenberg
55710,7,8,bill hahnenberg
55710,8,9,bill hahnenberg
55710,9,10,bill hahnenberg
55710,10,11,bill hahnenberg
55710,11,12,bill hahnenberg
55710,12,13,bill hahnenberg
55710,13,14,bill hahnenberg
55710,14,15,bill hahnenberg
55710,15,16,bill hahnenberg
55710,16,17,bill hahnenberg
145152,5,5,bill hahnenberg
145152,6,6,bill hahnenberg
145152,7,7,bill hahnenberg
145152,8,8,bill hahnenberg
145152,9,9,bill hahnenberg
145152,10,10,bill hahnenberg
143331,3,2,bill hahnenberg
143331,4,3,bill hahnenberg
143331,5,4,bill hahnenberg
74029,3,3,bill hahnenberg
74029,4,4,bill hahnenberg
74029,5,5,bill hahnenberg
74029,6,6,bill hahnenberg
74029,7,7,bill hahnenberg
74029,8,8,bill hahnenberg
74029,22,22,bill hahnenberg
74029,23,23,bill hahnenberg
74029,24,24,bill hahnenberg
74029,25,25,bill hahnenberg
74029,26,26,bill hahnenberg
74029,27,27,bill hahnenberg
74029,28,28,bill hahnenberg
74029,29,29,bill hahnenberg
74029,30,30,bill hahnenberg
74029,31,31,bill hahnenberg
52711,7,7,bill hahnenberg
52711,8,8,bill hahnenberg
52711,9,9,bill hahnenberg
52711,10,10,bill hahnenberg
139422,1,1,bill king
158616,1,11,bill murphy
158616,2,15,bill murphy
58591,1,1,bill murphy
121089,1,0,bill nelson
121089,2,1,bill nelson
145031,1,1,bill panagopoulos
145031,2,2,bill panagopoulos
115814,2,1,bill panagopoulos
144723,2,2,bill panagopoulos
157893,1,1,bill panagopoulos
59229,1,0,bill rash
59229,2,1,bill rash
131607,1,3,bill robinson
109419,2,2,bill van bruggen
109419,3,3,bill van bruggen
144180,24,26,bill van bruggen
144180,25,27,bill van bruggen
144180,26,28,bill van bruggen
144180,27,29,bill van bruggen
144180,28,30,bill van bruggen
67773,2,3,bill van bruggen
67773,3,4,bill van bruggen
112782,1,0,bill waln
125138,1,1,bill waln
136933,1,0,bill willems
86278,1,2,bill woody
86278,2,3,bill woody
145134,1,1,billy britt
145134,2,2,billy britt
145134,3,3,billy britt
145134,4,4,billy britt
145134,5,5,billy britt
117553,1,0,billy britt
117553,2,1,billy britt
105841,1,1,billy britt
105841,2,2,billy britt
55487,1,0,billy britt
55487,2,1,billy britt
105691,1,1,billy britt
105691,1,1,barry burt
115308,1,0,billy see
130288,1,0,"birrell, hecht"
158616,3,17,blaine tarbell
158616,4,18,blaine tarbell
158616,5,20,blaine tarbell
120835,6,12,blaine tarbell
122951,1,0,blair joiner
122951,2,1,blair joiner
122951,3,2,blair joiner
122951,4,3,blair joiner
106983,1,0,blaire westergard
162340,1,4,blake creagan
54421,1,0,"blumer, katrina"
155330,2,3,bob airhart
155330,3,4,bob airhart
155330,4,5,bob airhart
147580,1,1,bob airhart
161705,4,5,bob allbee
161705,5,6,bob allbee
161705,6,7,bob allbee
161705,7,8,bob allbee
161705,8,9,bob allbee
162437,1,5,bob arthur
102626,2,1,bob bente
55202,1,0,bob berger
55202,2,1,bob berger
159125,4,4,bob fry
160432,3,2,bob fry
160432,4,3,bob fry
160432,5,4,bob fry
143993,2,1,bob fry
143993,3,2,bob fry
143993,4,3,bob fry
143993,5,4,bob fry
162208,2,2,bob fry
162208,3,3,bob fry
146893,2,2,bob fry
146893,3,3,bob fry
146755,2,4,bob fry
146755,3,5,bob fry
146755,4,6,bob fry
141416,3,3,bob fry
141416,4,4,bob fry
141416,5,5,bob fry
141119,4,3,bob fry
141119,4,3,rick seidlitz
47142,1,1,bob hill 
132014,7,7,bob houseman
132014,8,8,bob houseman
144180,3,5,bob houseman
144180,4,6,bob houseman
144180,5,7,bob houseman
144180,6,8,bob houseman
144180,7,9,bob houseman
144180,8,10,bob houseman
144180,9,11,bob houseman
144180,10,12,bob houseman
144180,11,13,bob houseman
144180,12,14,bob houseman
144180,13,15,bob houseman
144180,14,16,bob houseman
144180,15,17,bob houseman
144180,16,18,bob houseman
144180,17,19,bob houseman
144180,18,20,bob houseman
144180,19,21,bob houseman
144180,20,22,bob houseman
144180,21,23,bob houseman
144180,22,24,bob houseman
144180,23,25,bob houseman
145671,1,6,bob houseman
120256,2,2,bob johnson
120256,3,3,bob johnson
103851,2,1,bob johnson
103851,3,2,bob johnson
103851,4,3,bob johnson
146622,2,3,bob johnson
146622,3,4,bob johnson
100393,2,1,bob lineback
160432,1,0,bob mccrea
160432,2,1,bob mccrea
56367,1,0,bob mccrea
56367,2,1,bob mccrea
79528,1,0,bob mccrea
79528,2,1,bob mccrea
53702,1,3,bob means
53702,2,4,bob means
53702,3,5,bob means
53702,3,5,dennis strange
70995,2,1,bob rick
54421,2,1,bob rodello
105149,1,0,bob shindelar
132014,3,3,bob sommer
132014,4,4,bob sommer
132014,5,5,bob sommer
132014,6,6,bob sommer
134441,4,25,bob travis
134441,5,30,bob travis
134441,6,33,bob travis
134441,7,36,bob travis
69716,1,0,bob wallen
69716,2,1,bob wallen
69816,1,1,bob wallen
69816,2,2,bob wallen
69816,3,3,bob wallen
50254,1,0,bob wallen
148655,2,1,bobby sutton
148655,3,2,bobby sutton
126509,1,0,bobby sutton
126509,4,3,bobby sutton
126509,5,4,bobby sutton
126509,6,5,bobby sutton
50068,1,1,"boehm, rich"
79539,5,11,bonefeld fumt
55125,11,14,"bonefeld, reidy"
55125,12,15,"bonefeld, reidy"
55125,13,16,"bonefeld, reidy"
55125,14,17,"bonefeld, reidy"
114466,2,2,"boykin, holguin"
