skim_type,skim_variable,n_missing,complete_rate,factor.ordered,factor.n_unique,factor.top_counts,numeric.mean,numeric.sd,numeric.min,numeric.max
factor,growth_potential,4,0.9991701244813278,FALSE,3,"Hig: 2486, Med: 1510, Low: 820",NA,NA,NA,NA
factor,terrain,0,1,FALSE,3,"Hig: 4123, Med: 616, Low: 81",NA,NA,NA,NA
factor,L1.evac,0,1,FALSE,2,"No: 3832, Yes: 988",NA,NA,NA,NA
factor,evac_potential,0,1,FALSE,2,"No: 3231, Yes: 1589",NA,NA,NA,NA
factor,year,0,1,FALSE,7,"201: 1281, 200: 892, 201: 783, 201: 675",NA,NA,NA,NA
factor,gacc,0,1,FALSE,8,"NR: 987, EB: 914, SW: 756, SO: 579",NA,NA,NA,NA
factor,L0.sfwp,0,1,FALSE,5,"4: 1768, 3: 1619, 2: 706, 5: 552",NA,NA,NA,NA
numeric,Wildland_Engines,447,0.9072614107883817,NA,NA,NA,4.605991310313286,16.400983244266133,0,318
numeric,Structure_Engines,447,0.9072614107883817,NA,NA,NA,1.0338440429910816,9.470798175877583,0,325
numeric,Dozers,447,0.9072614107883817,NA,NA,NA,0.5678024239652413,2.6286281327556287,0,65
numeric,Type_1_Crews,447,0.9072614107883817,NA,NA,NA,1.3329522067230735,5.147664478704708,0,81
numeric,Type_2_Crews,447,0.9072614107883817,NA,NA,NA,0.6096501257717813,1.7589577798624436,0,27
numeric,VLAT,447,0.9072614107883817,NA,NA,NA,0.12234164189343699,0.6563691788853471,0,12
numeric,T2_4_Airtanker,447,0.9072614107883817,NA,NA,NA,2.012805854104734,3.7484758376243965,0,31
numeric,Helicopters,447,0.9072614107883817,NA,NA,NA,0.7411388063114567,1.4863644595677692,0,19
numeric,growth,0,1,NA,NA,NA,1.467566307053942,2.7739285819352997,1.9999999999999998e-4,20.674
numeric,L1.area,0,1,NA,NA,NA,15.968868651452283,39.16540136472977,0,538.043
numeric,L0.bi,0,1,NA,NA,NA,58.05497925311203,13.80138387353373,26,103
numeric,L0.erc,0,1,NA,NA,NA,70.48724957506224,13.418162062380128,20.8530006,113.0270004
numeric,L0.prcp,0,1,NA,NA,NA,0.4197903734439834,1.4037339736755945,0,12.7786
numeric,L0.rmin,0,1,NA,NA,NA,17.30669049792531,8.57100032377411,1,57.8504
numeric,L0.tmax,0,1,NA,NA,NA,26.419308651452305,6.064857012576161,4.483100000000036,45.80920000000003
numeric,L0.wind,0,1,NA,NA,NA,7.872208135684648,2.766180103460694,1.8200232,18.1863626
4820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
